id;name;description;game_time_type;game_time;stop_time_type;stop_time;total_points;dif_points;jhi_order;tournament_id
1;mobile Fish;Home Loan Account Table Computer;SECONDS;33370;SECONDS;5641;96990;72199;83244;1
2;red Chips Soap;Home Loan Account;SECONDS;29122;SECONDS;29214;97375;36636;23277;2
3;Licensed Savings Account;Cambridgeshire Mississippi;SECONDS;68030;SECONDS;1326;94888;94220;96563;3
4;cross-platform access;Public-key;SECONDS;12203;MINUTES;90932;39106;25877;18223;4
5;copy convergence;Mayotte;MINUTES;84228;MINUTES;72727;92187;32654;8849;5
6;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;SECONDS;54269;SECONDS;80219;16526;7455;1563;6
7;deliverables reinvent 24 hour;overriding;MINUTES;92630;SECONDS;85003;62329;44945;33089;7
8;Fantastic Plastic Chicken;payment;SECONDS;47221;MINUTES;76078;72172;56127;23598;8
9;Networked Sleek Metal Table Small;Intelligent Outdoors;MINUTES;69551;MINUTES;20306;22879;94285;7697;9
10;neutral Salad;Auto Loan Account modular Refined;MINUTES;89255;SECONDS;31800;90682;11005;27213;10
